id x y open_time close_time duration demand_box demand_w skill day
depo_02_dayall 734.01 205.39 0 7200 0 0 0 x all
100002_day1 717.079 197.507 360 1200 7.8 7000 53098 x 1
100381_day1 722.604 205.392 360 1260 7.8 7000 55250 x 1
100556_day1 800.907 166.993 360 1140 7.8 7000 56552 x 1
100559_day1 801.027 166.31 390 1140 6.6 5000 37784 x 1
100758_day1 800.662 172.363 300 1140 15.6 20000 148230 x 1
100783_day1 736.798 203.998 300 1439 6 3000 30316 x 1
101042_day1 706.574 202.965 360 1320 6 2000 23282 x 1
102019_day1 801.242 166.52 330 1260 6.6 5000 40229 x 1
102026_day1 800.593 165.541 360 1200 6.6 5000 39189 x 1
103247_day1 705.595 204.739 360 1200 9.6 10000 75318 x 1
103250_day1 705.801 203.773 300 1260 9 9000 77492 x 1
103254_day1 708.495 203.262 360 1260 8.4 8000 63294 x 1
103333_day1 722.39 205.386 300 1260 7.8 7000 61307 x 1
103580_day1 706.518 202.365 360 1200 6 2000 18204 x 1
103800_day1 737.036 204.595 360 1200 6.6 5000 41487 x 1
103802_day1 737.071 204.274 360 1140 7.8 7000 60010 x 1
103826_day1 736.771 204.365 0 1439 8.4 8000 73442 x 1
103837_day1 736.274 203.781 360 1320 6 4000 39743 x 1
