id x y open_time close_time duration demand_box demand_w skill day
depo_02_dayall 734.01 205.39 0 7200 0 0 0 x all
100122_day2 722.032 170.962 1800 2760 9 9000 74511 x 2
100155_day2 709.979 216.893 1740 2640 12 14000 106064 x 2
100158_day2 709.665 216.879 1800 2640 10.2 11000 81315 x 2
100175_day2 741.558 182.865 1800 2580 7.2 6000 45783 x 2
100191_day2 716.372 184.564 1800 2580 7.8 7000 55152 x 2
100395_day2 714.924 240.116 1860 2580 7.2 6000 50202 x 2
100563_day2 758.647 240.576 1740 2640 7.8 7000 56286 x 2
100598_day2 761.701 214.076 1800 2520 6.6 5000 37475 x 2
100625_day2 738.184 169.602 1800 2760 7.8 7000 59075 x 2
100667_day2 735.437 204.3 1740 2820 9.6 10000 90515 x 2
100670_day2 714.972 239.977 1740 2760 8.4 8000 67232 x 2
100701_day2 728.793 164.753 1800 2460 10.2 11000 75346 x 2
100731_day2 775.757 247.447 1800 2610 9 9000 68273 x 2
100737_day2 752.477 173.727 1800 2640 9 9000 72495 x 2
100983_day2 722.733 169.649 1800 2760 9 9000 77636 x 2
101092_day2 753.794 204.933 1800 2700 12.6 15000 106585 x 2
101093_day2 752.517 204.521 1800 2700 18 24000 168870 x 2
101094_day2 734.189 225.312 1770 2580 10.2 11000 87726 x 2
101096_day2 753.284 204.685 1890 2610 9.6 10000 72002 x 2
101107_day2 746.609 208.318 1800 2520 10.2 11000 79641 x 2
101534_day2 765.825 169.064 1740 2760 10.2 11000 90831 x 2
101745_day2 735.89 204.54 1800 2760 9 9000 79346 x 2
101746_day2 737.6 205.356 1800 2520 10.2 11000 87244 x 2
101747_day2 738.618 199.378 1800 2640 8.4 8000 68507 x 2
101756_day2 713.463 168.467 1770 2580 7.2 6000 49653 x 2
101911_day2 712.465 220.976 1815 2520 10.8 12000 82699 x 2
101937_day2 785.714 178.75 1770 2700 7.2 6000 49285 x 2
101938_day2 795.954 188.595 1800 2520 7.2 6000 43970 x 2
101947_day2 797.792 208.403 1800 2520 6.6 5000 36323 x 2
101954_day2 765.197 169.425 1740 2700 7.8 7000 54226 x 2
101977_day2 781.762 177.927 1770 2580 9.6 10000 74831 x 2
102773_day2 744.519 204.123 1920 2520 6 2000 16050 x 2
102817_day2 714.692 239.481 1800 2520 6 1000 11222 x 2
103257_day2 705.596 202.37 1800 2640 6 4000 31517 x 2
103280_day2 727.284 190.401 1800 2640 10.2 11000 91514 x 2
103331_day2 736.831 205.676 1740 2700 7.2 6000 50227 x 2
103334_day2 735.302 203.298 1800 2640 8.4 8000 66623 x 2
103458_day2 734.585 225.115 1860 2640 11.4 13000 104463 x 2
103793_day2 713.701 238.86 1740 2760 10.8 12000 93868 x 2
103795_day2 739.725 195.391 1800 2640 10.2 11000 89455 x 2
103796_day2 731.661 214.227 1860 2580 9 9000 70293 x 2
103799_day2 738.966 202.905 1800 2640 7.2 6000 52455 x 2
103810_day2 743.596 186.693 1800 2760 10.2 11000 90412 x 2
103813_day2 714.976 240.397 1800 2520 9.6 10000 76634 x 2
103814_day2 714.049 238.998 1740 2460 9.6 10000 79845 x 2
103815_day2 751.399 204.359 1740 2700 9.6 10000 80165 x 2
103817_day2 735.763 204.367 1800 2640 6 4000 34703 x 2
103818_day2 737.869 198.169 1770 2640 7.8 7000 60419 x 2
103819_day2 737.119 202.26 1920 2640 9.6 10000 83410 x 2
103820_day2 735.365 202.451 1740 2640 7.8 7000 57166 x 2
103821_day2 735.56 204.492 1770 2610 10.2 11000 93749 x 2
103827_day2 743.948 186.736 1800 2640 9.6 10000 82368 x 2
103831_day2 751.702 174.148 1800 2580 7.8 7000 53697 x 2
103836_day2 732.264 163.147 1770 2550 8.4 8000 60593 x 2
103841_day2 715.801 239.036 1815 2580 7.8 7000 59616 x 2
103843_day2 714.942 239.763 1815 2640 7.8 7000 59900 x 2
103845_day2 720.617 242.247 1815 2580 10.8 12000 95464 x 2
103848_day2 714.796 240.963 1770 2520 11.4 13000 105624 x 2
103849_day2 715.294 239.918 1860 2640 8.4 8000 66126 x 2
103850_day2 715.804 240.06 1815 2580 8.4 8000 64566 x 2
103855_day2 738.296 198.254 1800 2640 10.2 11000 94739 x 2
103858_day2 715.259 240.844 1800 2700 9 9000 75201 x 2
