id kapacitas terhelhetoseg x y departure arrival dist_cost time_cost fixed_cost skill day
MGJ136_day1 150000 1116000 734.01 205.39 360 900 0.2 1 0 x day1
MGJ133_day1 150000 1116000 734.01 205.39 360 900 0.2 1 0 x day1
LTC726_day1 130000 1044000 734.01 205.39 360 900 0.2 1 0 x day1
LTC725_day1 130000 1044000 734.01 205.39 360 900 0.2 1 0 x day1
LTC724_day1 130000 1044000 734.01 205.39 360 900 0.2 1 0 x day1
LTC720_day1 130000 1044000 734.01 205.39 360 900 0.2 1 0 x day1
MES548_day1 110000 1440000 734.01 205.39 360 900 0.2 1 0 x,belvaros day1
LXF986_day1 90000 1525000 734.01 205.39 360 900 0.2 1 0 x,belvaros day1
LXF957_day1 90000 1525000 734.01 205.39 360 900 0.2 1 0 x,belvaros day1
LXF956_day1 90000 1525000 734.01 205.39 360 900 0.2 1 0 x,belvaros day1
